alpha,I
-3.248,6
-3.253,6
-3.259,6
-3.264,6
-3.269,6.4
-3.275,6.4
-3.28,6.4
-3.285,6.4
-3.291,6.4
-3.296,6.4
-3.301,6.4
-3.306,6.4
-3.312,6.4
-3.317,6.4
-3.322,6
-3.328,6
-3.333,5.6
-3.338,5.6
-3.344,5.6
-3.349,5.6
-3.354,5.2
-3.36,5.2
-3.365,5.2
-3.37,5.2
-3.376,5.2
-3.381,5.2
-3.386,5.6
-3.392,5.6
-3.397,6
-3.402,6
-3.408,6
-3.413,6
-3.418,6
-3.424,6
-3.429,5.6
-3.434,5.6
-3.44,5.2
-3.445,5.2
-3.45,5.2
-3.456,4.8
-3.461,4.8
-3.466,4.8
-3.472,4.8
-3.477,4.8
-3.482,4.8
-3.488,4.8
-3.493,4.8
-3.498,4.8
-3.504,4.8
-3.509,4.8
-3.514,5.2
-3.52,5.2
-3.525,5.2
-3.53,5.2
-3.536,5.2
-3.541,5.2
-3.546,5.2
-3.552,5.2
-3.557,4.8
-3.562,4.8
-3.568,4.4
-3.573,4.4
-3.578,4
-3.584,4
-3.589,4
-3.594,4
-3.6,4
-3.605,4.4
-3.61,4.4
-3.616,4.4
-3.621,4.4
-3.626,4.4
-3.632,4.4
-3.637,4.4
-3.642,4.8
-3.647,4.8
-3.653,4.8
-3.658,4.8
-3.663,4.4
-3.669,4.4
-3.674,4
-3.679,4
-3.685,4
-3.69,4
-3.695,3.6
-3.701,3.6
-3.706,3.6
-3.711,3.6
-3.717,4
-3.722,4
-3.727,4
-3.733,4
-3.738,4
-3.743,4
-3.749,4
-3.754,4
-3.759,4
-3.765,4
-3.77,4
-3.775,4
-3.781,4
-3.786,3.6
-3.791,3.6
-3.797,3.6
-3.802,3.6
-3.807,3.6
-3.813,3.6
-3.818,3.6
-3.823,3.6
-3.829,3.6
-3.834,3.6
-3.839,3.6
-3.844,3.6
-3.85,3.6
-3.855,3.6
-3.86,3.6
-3.866,3.6
